date,dimensions,grandParentId,grandParentParentGraph,hasCoordinatesDown,hasCoordinatesUp,id,level,name,parentGraph,parentId,parentName,temperature_2m,total_precipitation_sum,type,weight
2023-01-07,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.570584633297,2.1467194528668188e-06,Polygon,1
2023-01-07,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.3622297547857,2.1467194528668188e-06,Polygon,1
2023-01-08,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.848327398252,1.4320858614332574e-06,Polygon,1
2023-01-08,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.1074784542939,0.0,Polygon,1
2023-01-09,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.32345304855966,1.9215790120820924e-06,Polygon,1
2023-01-09,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.12262845826746,1.2904404798064206e-06,Polygon,1
2023-01-10,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.6111985911254,5.513324142894214e-07,Polygon,1
2023-01-10,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.3125377144787,4.351138045421976e-07,Polygon,1
2023-01-11,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.50292398735166,1.2339444473139254e-07,Polygon,1
2023-01-11,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.1770079834827,0.0,Polygon,1
2023-01-12,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.8960691650948,4.4973608655242695e-06,Polygon,1
