,time_period,rainfall,mean_temperature,disease_cases,population,parent,location
175,2018-05-07/2018-05-13,28.4,29.8857142857143,4,906858,-,1
176,2018-05-14/2018-05-20,2.5,29.9,2,906858,-,1
177,2018-05-21/2018-05-27,116.0,29.4571428571429,18,906858,-,1
178,2018-05-28/2018-06-03,125.5,28.8,29,906858,-,1
179,2018-06-04/2018-06-10,26.9,29.6285714285714,33,906858,-,1
180,2018-06-11/2018-06-17,50.2,29.0857142857143,46,906858,-,1
181,2018-06-18/2018-06-24,22.8,29.2285714285714,71,906858,-,1
182,2018-06-25/2018-07-01,69.1,27.8142857142857,79,906858,-,1
183,2018-07-02/2018-07-08,16.4,30.8857142857143,64,906858,-,1
184,2018-07-09/2018-07-15,23.8,29.2,80,906858,-,1
185,2018-07-16/2018-07-22,62.6,27.5857142857143,58,906858,-,1
186,2018-07-23/2018-07-29,43.6,28.1857142857143,62,906858,-,1
187,2018-07-30/2018-08-05,61.5,28.1714285714286,49,906858,-,1
188,2018-08-06/2018-08-12,82.0,28.8142857142857,51,906858,-,1
189,2018-08-13/2018-08-19,51.9,28.0142857142857,70,906858,-,1
190,2018-08-20/2018-08-26,85.9,28.1857142857143,120,906858,-,1
191,2018-08-27/2018-09-02,82.0,27.3,85,906858,-,1
192,2018-09-03/2018-09-09,99.3,28.5571428571429,86,906858,-,1
193,2018-09-10/2018-09-16,16.8,29.2428571428571,94,906858,-,1
194,2018-09-17/2018-09-23,43.0,28.9714285714286,34,906858,-,1
195,2018-09-24/2018-09-30,81.6,30.0428571428571,60,906858,-,1
196,2018-10-01/2018-10-07,4.8,28.5857142857143,94,906858,-,1
197,2018-10-08/2018-10-14,0.0,28.7,70,906858,-,1
198,2018-10-15/2018-10-21,29.8,29.5285714285714,80,906858,-,1
199,2018-10-22/2018-10-28,40.6,28.7428571428571,50,906858,-,1
200,2018-10-29/2018-11-04,0.0,26.6285714285714,100,906858,-,1
201,2018-11-05/2018-11-11,0.0,26.7571428571429,60,906858,-,1
202,2018-11-12/2018-11-18,3.3,28.9571428571429,87,906858,-,1
203,2018-11-19/2018-11-25,0.0,28.0571428571429,69,906858,-,1
204,2018-11-26/2018-12-02,0.0,26.5,42,906858,-,1
205,2018-12-03/2018-12-09,1.5,27.9,55,906858,-,1
206,2018-12-10/2018-12-16,0.0,24.6714285714286,84,906858,-,1
207,2018-12-17/2018-12-23,0.0,25.3714285714286,80,906858,-,1
208,2018-12-24/2018-12-30,1.2,25.5571428571429,51,906858,-,1
209,2018-12-31/2019-01-06,0.0,24.1333333333333,37,927730,-,1
210,2019-01-07/2019-01-13,0.0,26.5857142857143,33,927730,-,1
211,2019-01-14/2019-01-20,0.0,25.5,40,927730,-,1
212,2019-01-21/2019-01-27,0.0,24.5428571428571,35,927730,-,1
213,2019-01-28/2019-02-03,0.0,25.7714285714286,34,927730,-,1
214,2019-02-04/2019-02-10,0.0,28.7285714285714,29,927730,-,1
215,2019-02-11/2019-02-17,77.1,27.4428571428571,32,927730,-,1
216,2019-02-18/2019-02-24,0.0,28.4571428571429,24,927730,-,1
217,2019-02-25/2019-03-03,19.8,28.3142857142857,15,927730,-,1
218,2019-03-04/2019-03-10,0.0,29.3142857142857,28,927730,-,1
219,2019-03-11/2019-03-17,0.0,28.3142857142857,18,927730,-,1
220,2019-03-18/2019-03-24,4.5,30.2,12,927730,-,1
221,2019-03-25/2019-03-31,30.4,29.8142857142857,30,927730,-,1
222,2019-04-01/2019-04-07,0.0,29.4714285714286,31,927730,-,1
223,2019-04-08/2019-04-14,0.0,32.4714285714286,19,927730,-,1
224,2019-04-15/2019-04-21,0.0,32.6857142857143,27,927730,-,1
225,2019-04-22/2019-04-28,18.0,32.1571428571429,53,927730,-,1
226,2019-04-29/2019-05-05,8.8,31.7714285714286,64,927730,-,1
227,2019-05-06/2019-05-12,3.1,30.2857142857143,66,927730,-,1
228,2019-05-13/2019-05-19,73.9,30.2428571428571,88,927730,-,1
229,2019-05-20/2019-05-26,17.0,30.6428571428571,114,927730,-,1
230,2019-05-27/2019-06-02,61.5,29.2142857142857,142,927730,-,1
231,2019-06-03/2019-06-09,9.1,30.1857142857143,224,927730,-,1
232,2019-06-10/2019-06-16,113.8,30.2,249,927730,-,1
233,2019-06-17/2019-06-23,67.5,30.6571428571429,331,927730,-,1
234,2019-06-24/2019-06-30,62.6,30.1,372,927730,-,1
235,2019-07-01/2019-07-07,44.6,28.4571428571429,303,927730,-,1
236,2019-07-08/2019-07-14,15.0,31.0142857142857,676,927730,-,1
237,2019-07-15/2019-07-21,9.4,31.6,723,927730,-,1
238,2019-07-22/2019-07-28,3.5,29.1714285714286,662,927730,-,1
239,2019-07-29/2019-08-04,75.4,28.3,583,927730,-,1
240,2019-08-05/2019-08-11,124.8,29.4,631,927730,-,1
241,2019-08-12/2019-08-18,123.1,28.4857142857143,476,927730,-,1
242,2019-08-19/2019-08-25,241.3,28.4857142857143,376,927730,-,1
243,2019-08-26/2019-09-01,110.4,27.6714285714286,439,927730,-,1
244,2019-09-02/2019-09-08,39.0,29.1714285714286,434,927730,-,1
245,2019-09-09/2019-09-15,5.8,29.5571428571429,418,927730,-,1
246,2019-09-16/2019-09-22,1.6,30.1571428571429,519,927730,-,1
247,2019-09-23/2019-09-29,0.0,28.8571428571429,476,927730,-,1
248,2019-09-30/2019-10-06,8.9,29.6142857142857,439,927730,-,1
249,2019-10-07/2019-10-13,0.2,29.5571428571429,256,927730,-,1
250,2019-10-14/2019-10-20,0.0,29.3,291,927730,-,1
251,2019-10-21/2019-10-27,6.4,30.3714285714286,218,927730,-,1
252,2019-10-28/2019-11-03,12.5,28.0428571428571,206,927730,-,1
253,2019-11-04/2019-11-10,0.0,26.5428571428571,131,927730,-,1
