,time_period,disease_cases,location,week_id
669,2023W24,9,XKGgynPS1WZ,107243
151,2023W25,9,XKGgynPS1WZ,107244
334,2023W26,7,XKGgynPS1WZ,107245
154,2023W27,13,XKGgynPS1WZ,107246
680,2023W28,3,XKGgynPS1WZ,107247
160,2023W29,2,XKGgynPS1WZ,107248
582,2023W30,4,XKGgynPS1WZ,107249
584,2023W31,6,XKGgynPS1WZ,107250
234,2023W32,4,XKGgynPS1WZ,107251
238,2023W33,2,XKGgynPS1WZ,107252
542,2023W35,4,XKGgynPS1WZ,107254
191,2023W36,1,XKGgynPS1WZ,107255
193,2023W37,1,XKGgynPS1WZ,107256
544,2023W38,1,XKGgynPS1WZ,107257
560,2023W39,4,XKGgynPS1WZ,107258
236,2023W43,1,XKGgynPS1WZ,107262
507,2023W44,20,XKGgynPS1WZ,107263
671,2023W45,30,XKGgynPS1WZ,107264
506,2023W46,25,XKGgynPS1WZ,107265
333,2023W47,26,XKGgynPS1WZ,107266
508,2023W48,26,XKGgynPS1WZ,107267
672,2023W49,30,XKGgynPS1WZ,107268
314,2023W50,22,XKGgynPS1WZ,107269
495,2023W51,21,XKGgynPS1WZ,107270
663,2023W52,28,XKGgynPS1WZ,107271
651,2024W1,32,XKGgynPS1WZ,107273
128,2024W2,30,XKGgynPS1WZ,107274
311,2024W3,24,XKGgynPS1WZ,107275
129,2024W4,33,XKGgynPS1WZ,107276
652,2024W5,38,XKGgynPS1WZ,107277
148,2024W6,30,XKGgynPS1WZ,107278
332,2024W7,28,XKGgynPS1WZ,107279
149,2024W8,36,XKGgynPS1WZ,107280
660,2024W9,40,XKGgynPS1WZ,107281
34,2024W10,38,XKGgynPS1WZ,107282
43,2024W11,31,XKGgynPS1WZ,107283
47,2024W12,23,XKGgynPS1WZ,107284
38,2024W13,38,XKGgynPS1WZ,107285
57,2024W14,45,XKGgynPS1WZ,107286
45,2024W15,29,XKGgynPS1WZ,107287
150,2023W32,1,YvLOmtTQD6b,107251
157,2023W36,2,YvLOmtTQD6b,107255
50,2023W44,9,YvLOmtTQD6b,107263
14,2023W45,8,YvLOmtTQD6b,107264
19,2023W46,11,YvLOmtTQD6b,107265
2,2023W47,8,YvLOmtTQD6b,107266
8,2023W48,7,YvLOmtTQD6b,107267
3,2023W49,8,YvLOmtTQD6b,107268
41,2023W50,7,YvLOmtTQD6b,107269
36,2023W51,4,YvLOmtTQD6b,107270
42,2023W52,7,YvLOmtTQD6b,107271
653,2024W1,11,YvLOmtTQD6b,107273
135,2024W2,9,YvLOmtTQD6b,107274
310,2024W3,5,YvLOmtTQD6b,107275
126,2024W4,7,YvLOmtTQD6b,107276
647,2024W5,11,YvLOmtTQD6b,107277
127,2024W6,7,YvLOmtTQD6b,107278
327,2024W7,4,YvLOmtTQD6b,107279
143,2024W8,17,YvLOmtTQD6b,107280
654,2024W9,8,YvLOmtTQD6b,107281
577,2024W10,10,YvLOmtTQD6b,107282
574,2024W11,3,YvLOmtTQD6b,107283
237,2024W12,11,YvLOmtTQD6b,107284
240,2024W13,3,YvLOmtTQD6b,107285
587,2024W14,3,YvLOmtTQD6b,107286
579,2024W15,14,YvLOmtTQD6b,107287
78,2023W16,5,c4HrGRJoarj,107235
61,2023W17,7,c4HrGRJoarj,107236
64,2023W18,6,c4HrGRJoarj,107237
65,2023W19,3,c4HrGRJoarj,107238
49,2023W20,4,c4HrGRJoarj,107239
9,2023W21,1,c4HrGRJoarj,107240
17,2023W22,9,c4HrGRJoarj,107241
15,2023W23,1,c4HrGRJoarj,107242
4,2023W24,4,c4HrGRJoarj,107243
0,2023W25,9,c4HrGRJoarj,107244
24,2023W26,5,c4HrGRJoarj,107245
5,2023W28,13,c4HrGRJoarj,107247
10,2023W29,16,c4HrGRJoarj,107248
52,2023W30,18,c4HrGRJoarj,107249
328,2023W40,1,c4HrGRJoarj,107259
110,2023W43,1,c4HrGRJoarj,107262
293,2023W44,19,c4HrGRJoarj,107263
105,2023W45,13,c4HrGRJoarj,107264
624,2023W46,27,c4HrGRJoarj,107265
106,2023W47,10,c4HrGRJoarj,107266
304,2023W48,33,c4HrGRJoarj,107267
120,2023W49,17,c4HrGRJoarj,107268
136,2023W50,23,c4HrGRJoarj,107269
329,2023W51,30,c4HrGRJoarj,107270
144,2023W52,29,c4HrGRJoarj,107271
31,2024W1,31,c4HrGRJoarj,107273
26,2024W2,23,c4HrGRJoarj,107274
27,2024W3,29,c4HrGRJoarj,107275
54,2024W4,35,c4HrGRJoarj,107276
55,2024W5,45,c4HrGRJoarj,107277
51,2024W6,25,c4HrGRJoarj,107278
30,2024W7,43,c4HrGRJoarj,107279
32,2024W8,37,c4HrGRJoarj,107280
33,2024W9,36,c4HrGRJoarj,107281
145,2024W10,42,c4HrGRJoarj,107282
665,2024W11,42,c4HrGRJoarj,107283
137,2024W12,16,c4HrGRJoarj,107284
313,2024W13,40,c4HrGRJoarj,107285
138,2024W14,37,c4HrGRJoarj,107286
637,2024W15,33,c4HrGRJoarj,107287
670,2023W17,6,dOhqCNenSjS,107236
513,2023W18,6,dOhqCNenSjS,107237
612,2023W20,4,dOhqCNenSjS,107239
209,2023W21,4,dOhqCNenSjS,107240
211,2023W22,9,dOhqCNenSjS,107241
557,2023W23,4,dOhqCNenSjS,107242
558,2023W24,4,dOhqCNenSjS,107243
220,2023W25,2,dOhqCNenSjS,107244
194,2023W26,3,dOhqCNenSjS,107245
547,2023W27,2,dOhqCNenSjS,107246
538,2023W28,1,dOhqCNenSjS,107247
210,2023W29,1,dOhqCNenSjS,107248
694,2023W30,2,dOhqCNenSjS,107249
159,2023W33,2,dOhqCNenSjS,107252
345,2023W36,1,dOhqCNenSjS,107255
613,2023W41,1,dOhqCNenSjS,107260
111,2023W43,1,dOhqCNenSjS,107262
643,2023W44,13,dOhqCNenSjS,107263
119,2023W45,15,dOhqCNenSjS,107264
305,2023W46,17,dOhqCNenSjS,107265
123,2023W47,10,dOhqCNenSjS,107266
633,2023W48,5,dOhqCNenSjS,107267
103,2023W49,4,dOhqCNenSjS,107268
188,2023W50,1,dOhqCNenSjS,107269
697,2023W51,6,dOhqCNenSjS,107270
175,2023W52,10,dOhqCNenSjS,107271
530,2024W1,17,dOhqCNenSjS,107273
370,2024W2,18,dOhqCNenSjS,107274
536,2024W3,19,dOhqCNenSjS,107275
686,2024W4,16,dOhqCNenSjS,107276
524,2024W5,17,dOhqCNenSjS,107277
347,2024W6,13,dOhqCNenSjS,107278
527,2024W7,13,dOhqCNenSjS,107279
690,2024W8,8,dOhqCNenSjS,107280
525,2024W9,7,dOhqCNenSjS,107281
465,2024W10,6,dOhqCNenSjS,107282
464,2024W11,9,dOhqCNenSjS,107283
448,2024W12,9,dOhqCNenSjS,107284
452,2024W13,16,dOhqCNenSjS,107285
454,2024W14,28,dOhqCNenSjS,107286
295,2024W15,33,dOhqCNenSjS,107287
703,2023W16,3,hRQsZhmvqgS,107235
537,2023W17,16,hRQsZhmvqgS,107236
371,2023W18,3,hRQsZhmvqgS,107237
531,2023W19,4,hRQsZhmvqgS,107238
260,2023W20,6,hRQsZhmvqgS,107239
258,2023W21,8,hRQsZhmvqgS,107240
594,2023W22,4,hRQsZhmvqgS,107241
592,2023W23,2,hRQsZhmvqgS,107242
242,2023W24,6,hRQsZhmvqgS,107243
243,2023W25,11,hRQsZhmvqgS,107244
595,2023W26,6,hRQsZhmvqgS,107245
620,2023W27,4,hRQsZhmvqgS,107246
275,2023W28,3,hRQsZhmvqgS,107247
280,2023W29,1,hRQsZhmvqgS,107248
485,2023W30,3,hRQsZhmvqgS,107249
299,2023W31,10,hRQsZhmvqgS,107250
486,2023W32,5,hRQsZhmvqgS,107251
627,2023W33,7,hRQsZhmvqgS,107252
470,2023W34,3,hRQsZhmvqgS,107253
282,2023W35,9,hRQsZhmvqgS,107254
534,2023W38,1,hRQsZhmvqgS,107257
366,2023W39,4,hRQsZhmvqgS,107258
437,2023W40,5,hRQsZhmvqgS,107259
423,2023W43,8,hRQsZhmvqgS,107262
424,2023W44,8,hRQsZhmvqgS,107263
416,2023W45,8,hRQsZhmvqgS,107264
417,2023W46,13,hRQsZhmvqgS,107265
425,2023W47,12,hRQsZhmvqgS,107266
426,2023W48,14,hRQsZhmvqgS,107267
463,2023W49,10,hRQsZhmvqgS,107268
382,2023W50,5,hRQsZhmvqgS,107269
386,2023W51,6,hRQsZhmvqgS,107270
385,2023W52,18,hRQsZhmvqgS,107271
223,2024W1,20,hRQsZhmvqgS,107273
228,2024W2,2,hRQsZhmvqgS,107274
569,2024W3,8,hRQsZhmvqgS,107275
572,2024W4,9,hRQsZhmvqgS,107276
341,2024W5,19,hRQsZhmvqgS,107277
519,2024W6,16,hRQsZhmvqgS,107278
683,2024W7,24,hRQsZhmvqgS,107279
516,2024W8,17,hRQsZhmvqgS,107280
339,2024W9,13,hRQsZhmvqgS,107281
248,2024W10,15,hRQsZhmvqgS,107282
252,2024W11,5,hRQsZhmvqgS,107283
597,2024W12,13,hRQsZhmvqgS,107284
602,2024W13,21,hRQsZhmvqgS,107285
249,2024W14,15,hRQsZhmvqgS,107286
253,2024W15,19,hRQsZhmvqgS,107287
262,2023W44,66,hdeC7uX9Cko,107263
619,2023W45,48,hdeC7uX9Cko,107264
616,2023W46,42,hdeC7uX9Cko,107265
278,2023W47,46,hdeC7uX9Cko,107266
271,2023W48,54,hdeC7uX9Cko,107267
614,2023W49,70,hdeC7uX9Cko,107268
348,2023W50,76,hdeC7uX9Cko,107269
168,2023W51,68,hdeC7uX9Cko,107270
684,2023W52,66,hdeC7uX9Cko,107271
629,2024W1,92,hdeC7uX9Cko,107273
483,2024W2,94,hdeC7uX9Cko,107274
300,2024W3,79,hdeC7uX9Cko,107275
482,2024W4,92,hdeC7uX9Cko,107276
642,2024W5,75,hdeC7uX9Cko,107277
480,2024W6,62,hdeC7uX9Cko,107278
360,2024W7,77,hdeC7uX9Cko,107279
528,2024W8,100,hdeC7uX9Cko,107280
700,2024W9,101,hdeC7uX9Cko,107281
378,2024W10,66,hdeC7uX9Cko,107282
381,2024W11,95,hdeC7uX9Cko,107283
450,2024W12,75,hdeC7uX9Cko,107284
447,2024W13,75,hdeC7uX9Cko,107285
451,2024W14,87,hdeC7uX9Cko,107286
443,2024W15,61,hdeC7uX9Cko,107287
405,2023W16,21,pFCZqWnXtoU,107235
401,2023W17,38,pFCZqWnXtoU,107236
375,2023W18,68,pFCZqWnXtoU,107237
376,2023W19,44,pFCZqWnXtoU,107238
421,2023W20,25,pFCZqWnXtoU,107239
429,2023W21,22,pFCZqWnXtoU,107240
414,2023W22,41,pFCZqWnXtoU,107241
415,2023W23,46,pFCZqWnXtoU,107242
422,2023W24,31,pFCZqWnXtoU,107243
503,2023W25,34,pFCZqWnXtoU,107244
662,2023W26,34,pFCZqWnXtoU,107245
499,2023W27,38,pFCZqWnXtoU,107246
318,2023W28,20,pFCZqWnXtoU,107247
511,2023W29,9,pFCZqWnXtoU,107248
474,2023W30,5,pFCZqWnXtoU,107249
288,2023W31,1,pFCZqWnXtoU,107250
479,2023W32,2,pFCZqWnXtoU,107251
