time_period,rainfall,mean_temperature,disease_cases,location
2012-01,55.847,25.66,1652,Alagoas
2012-02,48.368,25.52,1673,Alagoas
2012-03,32.159,25.85,2667,Alagoas
2012-04,23.154,25.71,3109,Alagoas
2012-05,43.609,24.78,2754,Alagoas
2012-06,59.869,23.59,1507,Alagoas
2012-07,66.403,22.29,1255,Alagoas
2012-08,60.064,21.99,883,Alagoas
2012-09,31.338,23.32,596,Alagoas
2012-10,30.836,24.1,420,Alagoas
2012-11,10.6,26.45,559,Alagoas
2012-12,16.52,26.46,2309,Alagoas
2013-01,24.237,26.95,17503,Alagoas
2013-02,20.807,26.85,13832,Alagoas
2013-03,23.964,27.1,6169,Alagoas
2013-04,72.23,26.44,3258,Alagoas
2013-05,77.965,24.43,2159,Alagoas
2013-06,61.4,23.81,1416,Alagoas
2013-07,152.796,22.65,1257,Alagoas
2013-08,65.818,22.59,740,Alagoas
2013-09,44.268,23.62,701,Alagoas
2013-10,67.856,24.47,792,Alagoas
2013-11,42.489,25.07,808,Alagoas
2013-12,43.661,26.31,683,Alagoas
2014-01,31.732,26.07,759,Alagoas
2014-02,41.234,25.88,828,Alagoas
2014-03,58.821,26.07,1090,Alagoas
2014-04,88.865,25.85,1569,Alagoas
2014-05,100.133,24.2,1941,Alagoas
2014-06,80.363,23.29,1350,Alagoas
2014-07,84.025,22.64,1316,Alagoas
2014-08,66.229,22.3,872,Alagoas
2014-09,57.834,23.4,598,Alagoas
2014-10,81.359,23.96,504,Alagoas
2014-11,95.728,25.24,392,Alagoas
2014-12,36.89,25.42,389,Alagoas
2015-01,30.252,26.09,1203,Alagoas
2015-02,62.402,26.15,1648,Alagoas
2015-03,48.123,26.36,4943,Alagoas
2015-04,26.921,26.85,6032,Alagoas
2015-05,59.344,25.39,4604,Alagoas
2015-06,91.233,23.66,2817,Alagoas
2015-07,94.195,22.84,1990,Alagoas
2015-08,52.979,22.74,1465,Alagoas
2015-09,28.287,24.22,1780,Alagoas
2015-10,21.944,25.24,2611,Alagoas
2015-11,10.556,26.83,4515,Alagoas
2015-12,27.721,26.66,6903,Alagoas
2016-01,88.629,26.45,12829,Alagoas
2016-02,42.645,26.32,10428,Alagoas
2016-03,51.253,26.73,8636,Alagoas
2016-04,51.151,25.99,5084,Alagoas
2016-05,74.278,24.7,1905,Alagoas
2016-06,60.298,23.88,1060,Alagoas
2016-07,58.944,22.82,745,Alagoas
2016-08,30.864,23.31,631,Alagoas
2016-09,33.071,24.17,421,Alagoas
2016-10,26.022,25.7,245,Alagoas
2016-11,19.753,26.39,176,Alagoas
2016-12,25.775,26.82,212,Alagoas
2001-03,246.448,24.63,316,Amapa
2001-04,95.784,25.3,242,Amapa
2001-05,53.202,24.83,569,Amapa
2001-06,11.906,23.49,418,Amapa
2001-07,9.122,25.35,467,Amapa
2001-08,7.308,26.84,740,Amapa
2001-09,73.743,26.99,436,Amapa
2001-10,170.021,26.08,234,Amapa
2001-11,269.46,25.21,85,Amapa
2001-12,310.885,24.78,19,Amapa
2002-01,285.296,24.97,74,Amapa
2002-02,290.324,24.92,252,Amapa
2002-03,187.136,25.46,203,Amapa
2002-04,75.017,25.68,82,Amapa
2002-05,32.105,25.72,34,Amapa
2002-06,0.795,24.95,37,Amapa
2002-07,14.404,25.64,53,Amapa
2002-08,14.396,27.32,112,Amapa
2002-09,66.998,26.72,90,Amapa
2002-10,102.215,27.56,31,Amapa
2002-11,158.01,26.28,33,Amapa
2002-12,254.112,25.69,31,Amapa
2003-01,288.926,25.19,59,Amapa
2003-02,216.761,25.01,90,Amapa
2003-03,279.206,24.69,112,Amapa
