location,time_period,horizon_distance,sample,forecast
LA-AT,201009,1,47,11.164829515858147
LA-AT,201009,1,48,45.26982861650889
LA-AT,201009,1,49,16.343968600809752
LA-AT,201009,1,50,1.292468483963529
LA-AT,201009,1,51,10.852764164951651
LA-AT,201009,1,52,2.7028057742341884
LA-AT,201009,1,53,3.180820558283595
LA-AT,201009,1,54,7.036548246515588
LA-AT,201009,1,55,2.2326933441439687
LA-AT,201009,1,56,6.0093974927841005
LA-AT,201009,1,57,7.41973478305476
LA-AT,201009,1,58,10.366847026943057
LA-AT,201009,1,59,12.152468499793704
LA-AT,201009,1,60,3.6825424042105595
LA-AT,201009,1,61,7.874042505226608
LA-AT,201009,1,62,32.79790365396745
LA-AT,201009,1,63,17.276291107031007
LA-AT,201009,1,64,66.17588619037306
LA-AT,201009,1,65,2.7028057742341884
LA-AT,201009,1,66,9.395012750925874
LA-AT,201009,1,67,9.786101641424231
LA-AT,201009,1,68,9.426622166762618
LA-AT,201009,1,69,11.251755409409196
LA-AT,201009,1,70,0.822356053873309
LA-AT,201009,1,71,7.48295361472825
LA-AT,201009,1,72,14.558347127959106
LA-AT,201009,1,73,5.092879694481219
LA-AT,201009,1,74,58.65408730892954
LA-AT,201009,1,75,5.053367924685288
LA-AT,201009,1,76,13.515391666309247
LA-AT,201009,1,77,2.2326933441439687
LA-AT,201009,1,78,20.86736756811162
LA-AT,201009,1,79,27.626666922975033
LA-AT,201009,1,80,15.028459558049327
LA-AT,201009,1,81,11.808793733050463
LA-AT,201009,1,82,5.562992124571439
LA-AT,201009,1,83,23.403557406122236
LA-AT,201009,1,84,19.18835024322863
LA-AT,201009,1,85,0.822356053873309
LA-AT,201009,1,86,23.059882639378998
LA-AT,201009,1,87,1.7704832680129352
LA-AT,201009,1,88,34.03841796459697
LA-AT,201009,1,89,24.35958697422105
LA-AT,201009,1,90,9.857222827056908
LA-AT,201009,1,91,34.31097154570753
LA-AT,201009,1,92,1.7783856219721212
LA-AT,201009,1,93,18.22441832117063
LA-AT,201009,1,94,4.121045418464035
LA-AT,201009,1,95,13.250740439157868
LA-AT,201009,1,96,4.15265483430078
LA-AT,201009,1,97,3.1729182043244086
LA-AT,201009,1,98,3.188722912242781
LA-AT,201009,1,99,83.99692847846997
LA-AT,201010,2,0,9.84200918814281
LA-AT,201010,2,1,4.129538841427497
LA-AT,201010,2,2,164.03888625773493
LA-AT,201010,2,3,5.500364361902226
LA-AT,201010,2,4,9.739278586673391
LA-AT,201010,2,5,7.365009374344734
LA-AT,201010,2,6,9.348189696175034
LA-AT,201010,2,7,16.06410373474428
LA-AT,201010,2,8,0.7834353530816542
LA-AT,201010,2,9,9.715571524795832
LA-AT,201010,2,10,4.074222363713194
LA-AT,201010,2,11,10.33582868011059
LA-AT,201010,2,12,8.814858434411324
LA-AT,201010,2,13,20.52815741687089
LA-AT,201010,2,14,19.85661259130278
LA-AT,201010,2,15,3.651524057378091
LA-AT,201010,2,16,11.276053540291029
LA-AT,201010,2,17,5.061861347648751
LA-AT,201010,2,18,2.2174797052298727
LA-AT,201010,2,19,3.604109933622974
LA-AT,201010,2,20,2.209577351270686
LA-AT,201010,2,21,5.046056639730378
LA-AT,201010,2,22,26.1853112858719
LA-AT,201010,2,23,2.209577351270686
LA-AT,201010,2,24,2.6954944892792785
LA-AT,201010,2,25,50.16104522047311
LA-AT,201010,2,26,8.870174912125627
LA-AT,201010,2,27,6.902799298213699
LA-AT,201010,2,28,5.539876131698156
LA-AT,201010,2,29,23.81894442750243
LA-AT,201010,2,30,30.890464394235053
LA-AT,201010,2,31,18.884778315285597
LA-AT,201010,2,32,4.129538841427497
LA-AT,201010,2,33,77.4117614577875
LA-AT,201010,2,34,2.2016749973115
LA-AT,201010,2,35,53.91404230723569
LA-AT,201010,2,36,15.538674826939754
LA-AT,201010,2,37,8.854370204207255
LA-AT,201010,2,38,8.336843650361917
LA-AT,201010,2,39,11.133811169025678
LA-AT,201010,2,40,19.11782012660023
LA-AT,201010,2,41,3.619914641541346
LA-AT,201010,2,42,5.484559653983854
LA-AT,201010,2,43,28.081565714151154
LA-AT,201010,2,44,2.1937726433523137
LA-AT,201010,2,45,6.464296283960225
LA-AT,201010,2,46,3.604109933622974
LA-AT,201010,2,47,2.2174797052298727
LA-AT,201010,2,48,11.714556554544506
LA-AT,201010,2,49,20.686204496054614
LA-AT,201010,2,50,5.061861347648751
LA-AT,201010,2,51,1.7394649211804665
LA-AT,201010,2,52,11.596021245156711
LA-AT,201010,2,53,1.2614501371310602
LA-AT,201010,2,54,6.041597977625122
LA-AT,201010,2,55,5.9625744380332595
LA-AT,201010,2,56,6.002086207829191
LA-AT,201010,2,57,0.7834353530816542
LA-AT,201010,2,58,1.2535477831718742
LA-AT,201010,2,59,6.002086207829191
LA-AT,201010,2,60,7.937852405904374
LA-AT,201010,2,61,10.185683954886052
LA-AT,201010,2,62,2.1937726433523137
LA-AT,201010,2,63,4.544334793803413
LA-AT,201010,2,64,46.90976997963751
LA-AT,201010,2,65,1.723660213262094
LA-AT,201010,2,66,4.583846563599344
LA-AT,201010,2,67,8.814858434411324
LA-AT,201010,2,68,2.1937726433523137
LA-AT,201010,2,69,22.262491219468185
LA-AT,201010,2,70,4.074222363713194
LA-AT,201010,2,71,7.451935267895781
LA-AT,201010,2,72,12.097743091083677
LA-AT,201010,2,73,2.2174797052298727
LA-AT,201010,2,74,1.723660213262094
LA-AT,201010,2,75,2.209577351270686
LA-AT,201010,2,76,3.14189985749194
LA-AT,201010,2,77,18.390958823317817
LA-AT,201010,2,78,22.76421306539515
LA-AT,201010,2,79,9.794595064387696
LA-AT,201010,2,80,1.2614501371310602
LA-AT,201010,2,81,40.41124830542725
LA-AT,201010,2,82,39.609237009051206
LA-AT,201010,2,83,2.209577351270686
LA-AT,201010,2,84,17.826018145717363
LA-AT,201010,2,85,2.1937726433523137
LA-AT,201010,2,86,11.690849492666946
LA-AT,201010,2,87,3.643621703418905
LA-AT,201010,2,88,32.58125761957547
LA-AT,201010,2,89,21.97800647693748
LA-AT,201010,2,90,4.129538841427497
LA-AT,201010,2,91,16.352462023773214
LA-AT,201010,2,92,10.343731034069776
LA-AT,201010,2,93,10.272609848437101
LA-AT,201010,2,94,37.67347081097602
LA-AT,201010,2,95,11.276053540291029
LA-AT,201010,2,96,2.2174797052298727
LA-AT,201010,2,97,1.2535477831718742
LA-AT,201010,2,98,3.651524057378091
LA-AT,201010,2,99,35.6785145886883
LA-BK,201008,0,0,2.592434634358085
LA-BK,201008,0,1,5.946440476663114
LA-BK,201008,0,2,4.974606200645929
LA-BK,201008,0,3,7.254047165464353
LA-BK,201008,0,4,1.1583902822098666
LA-BK,201008,0,5,40.84151971226976
LA-BK,201008,0,6,0.0
LA-BK,201008,0,7,44.64983327674664
LA-BK,201008,0,8,10.726588317157175
LA-BK,201008,0,9,28.03382233694426
LA-BK,201008,0,10,5.4210115688585905
LA-BK,201008,0,11,4.990410908564302
LA-BK,201008,0,12,2.568727572480526
LA-BK,201008,0,13,24.549505284794023
LA-BK,201008,0,14,15.467224387855303
LA-BK,201008,0,15,2.0986151423903063
LA-BK,201008,0,16,0.6803754981604604
LA-BK,201008,0,17,147.8141007378673
LA-BK,201008,0,18,13.914644726319295
LA-BK,201008,0,19,0.21026306807024053
LA-BK,201008,0,20,5.930635768744741
