location,time_period,horizon_distance,sample,forecast
LA-AT,201010,2,49,5.472516478279676
LA-AT,201010,2,50,26.02650475279374
LA-AT,201010,2,51,0.8169727756587436
LA-AT,201010,2,52,3.7686823521433532
LA-AT,201010,2,53,36.12349802452705
LA-AT,201010,2,54,13.005780280776815
LA-AT,201010,2,55,6.33842272944833
LA-AT,201010,2,56,6.7543812128977585
LA-AT,201010,2,57,10.202049657509011
LA-AT,201010,2,58,7.512308703188214
LA-AT,201010,2,59,4.560599126703605
LA-AT,201010,2,60,3.842671828751756
LA-AT,201010,2,61,1.6488897425576017
LA-AT,201010,2,62,0.8169727756587436
LA-AT,201010,2,63,3.842671828751756
LA-AT,201010,2,64,4.4126201734868005
LA-AT,201010,2,65,12.361842459433367
LA-AT,201010,2,66,5.472516478279676
LA-AT,201010,2,67,7.022360743130383
LA-AT,201010,2,68,7.176350604415998
LA-AT,201010,2,69,2.4068172328480575
LA-AT,201010,2,70,7.740288041082232
LA-AT,201010,2,71,35.149613012480195
LA-AT,201010,2,72,102.64100751238323
LA-AT,201010,2,73,76.44556870706374
LA-AT,201010,2,74,27.780284723263232
LA-AT,201010,2,75,16.18546919515544
LA-AT,201010,2,76,43.14277023469111
LA-AT,201010,2,77,1.3469209280551815
LA-AT,201010,2,78,67.78235386709108
LA-AT,201010,2,79,6.190443776231525
LA-AT,201010,2,80,2.4808067094564596
LA-AT,201010,2,81,50.6320991009239
LA-AT,201010,2,82,3.5407030142493356
LA-AT,201010,2,83,16.71541734755188
LA-AT,201010,2,84,2.9367653852444953
LA-AT,201010,2,85,12.583810889258576
LA-AT,201010,2,86,4.526609842433809
LA-AT,201010,2,87,8.458215339034082
LA-AT,201010,2,88,2.4068172328480575
LA-AT,201010,2,89,7.176350604415998
LA-AT,201010,2,90,1.8768690804516193
LA-AT,201010,2,91,1.8768690804516193
LA-AT,201010,2,92,12.657800365866978
LA-AT,201010,2,93,2.4808067094564596
LA-AT,201010,2,94,2.9367653852444953
LA-AT,201010,2,95,2.064848226007031
LA-AT,201010,2,96,77.27934425374528
LA-AT,201010,2,97,1.7628794115046107
LA-AT,201010,2,98,1.6488897425576017
LA-AT,201010,2,99,14.127644246040473
LA-BK,201008,0,0,1.1966411151160532
LA-BK,201008,0,1,30.229799827973128
LA-BK,201008,0,2,2.5585062344113494
LA-BK,201008,0,3,10.58171799696632
LA-BK,201008,0,4,27.654048542599345
LA-BK,201008,0,5,14.86130340847643
LA-BK,201008,0,6,4.296329644817467
