time_period,rainfall,mean_temperature,disease_cases,population,location
2004-12-20/2004-12-26,0.0001109481954758,300.92232539783964,1.0,100149,leon
2003-12-29/2004-01-04,5.6377223811939545e-06,299.46817395439507,86.0,100177,managua
2004-01-05/2004-01-11,6.134268822476071e-06,299.20814956368616,90.0,100847,managua
2004-01-12/2004-01-18,0.0001436150979261,299.38057665454363,109.0,100605,managua
2004-01-19/2004-01-25,0.0001043164449055,299.1531737112185,86.0,100566,managua
2004-01-26/2004-02-01,2.2353603916040283e-06,299.6871636306885,72.0,100626,managua
2004-02-02/2004-02-08,3.065542309325323e-05,299.61584781682745,44.0,100223,managua
2004-02-09/2004-02-15,1.8796639432003048e-06,300.02324799514804,51.0,100750,managua
2004-02-16/2004-02-22,0.0001940794878498,300.2123467127482,33.0,100325,managua
2004-02-23/2004-02-29,2.147816130754899e-05,300.0645420667306,39.0,100139,managua
2004-03-01/2004-03-07,5.48312498376459e-06,300.37512125169013,31.0,100593,managua
2004-03-08/2004-03-14,2.8400233931079862e-05,301.04560915836845,32.0,100075,managua
2004-03-15/2004-03-21,3.2122912009373207e-06,300.89429572430225,24.0,100091,managua
2004-03-22/2004-03-28,0.0003967981167978,300.8043302163406,34.0,100546,managua
2004-03-29/2004-04-04,2.8401853467267424e-05,302.4261102274699,7.0,100301,managua
2004-04-05/2004-04-11,6.970417312282763e-05,302.5181762408587,33.0,100759,managua
2004-04-12/2004-04-18,0.0001840110482484,301.71870775783765,23.0,100650,managua
2004-04-19/2004-04-25,0.0013262092263034,301.5943255788101,15.0,100808,managua
2004-04-26/2004-05-02,0.0007286852225417,302.2757903149618,17.0,100317,managua
2004-05-03/2004-05-09,0.0008998104774194,302.0952336942275,21.0,100449,managua
2004-05-10/2004-05-16,0.016771999690715,298.68599811878084,15.0,100756,managua
2004-05-17/2004-05-23,0.0081548141626751,298.5480012935231,14.0,100727,managua
2004-05-24/2004-05-30,0.0074664493425751,298.73734822062016,51.0,100412,managua
2004-05-31/2004-06-06,0.0068303806657097,298.7908706616559,38.0,100893,managua
2004-06-07/2004-06-13,0.0028700581571356,299.8729113736011,54.0,100687,managua
2004-06-14/2004-06-20,0.0056800029919464,299.5146102399694,57.0,100107,managua
2004-06-21/2004-06-27,0.0008824582316449,299.80941515446744,65.0,100401,managua
2004-06-28/2004-07-04,0.0080380197776828,299.02688170345095,53.0,100481,managua
2004-07-05/2004-07-11,0.0055368396549157,298.97132922638656,37.0,100006,managua
2004-07-12/2004-07-18,0.003797169297331,299.874059948613,31.0,100388,managua
2004-07-19/2004-07-25,0.003480166118984,299.769265917305,43.0,100582,managua
2004-07-26/2004-08-01,0.0049022139697279,299.7077643180465,40.0,100941,managua
2004-08-02/2004-08-08,0.0026043260944578,300.66484188600646,35.0,100370,managua
2004-08-09/2004-08-15,0.0042385817471063,300.17784607263263,35.0,100474,managua
2004-08-16/2004-08-22,0.0057018343968567,299.205401188581,41.0,100141,managua
2004-08-23/2004-08-29,0.0028178695656254,300.1427605503611,68.0,100129,managua
2004-08-30/2004-09-05,0.0057321027737219,298.91137613935064,59.0,100075,managua
2004-09-06/2004-09-12,0.0102498917806657,297.91531727707024,40.0,100279,managua
2004-09-13/2004-09-19,0.0071716391414265,298.4048018957622,54.0,100519,managua
